,Address - From Geocoder,Company_Name,File_List,Geocode Score,Header,Header_Clean,Latitude,Longitude,Match Score,Query,Text
39,"515 Smith St, Providence, RI",D'Amico Robt A & Co,['cd1978/entry/1978_Page_70 (2)_36.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.83617400846703,-71.42785490088424,100.0,515 SMITH ST PROVIDENCE,"""D'Amico Robt A & Co 515 Smith St"""
40,"168 Broadway, Providence, RI",David Bennie A,['cd1978/entry/1978_Page_70 (2)_37.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.821319190605735,-71.42270550120713,100.0,168 BROADWAY PROVIDENCE,David Bennie A 168 Broadway
41,"850 Admiral St, Providence, RI",Drummond Accounting Service,['cd1978/entry/1978_Page_70 (2)_41.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.85154096424103,-71.44471501780149,100.0,850 ADMIRAL ST PROVIDENCE,Drummond Accounting Service 850 Admiral St
42,"170 Westminster St, Providence, RI",Duffy A Edgell,['cd1978/entry/1978_Page_70 (2)_42.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.823683537755784,-71.41146197569445,100.0,170 WESTMINSTER ST PROVIDENCE,Duffy A Edgell 170 Westminster St Rm 300
43,"76 Westminster St, Providence, RI",Dufour Keenan Tripp,"['cd1978/entry/1978_Page_70 (2)_43.png', 'cd1978/entry/1978_Page_70 (2)_44.png']",100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82463663516011,-71.41012717666993,100.0,76 WESTMINSTER ST PROVIDENCE,Dufour Keenan Tripp 76 Westminster St Rm 315
44,"849 N Main St, Providence, RI",EDSON HUBERT,"['cd1978/entry/1978_Page_70 (3)_2.png', 'cd1978/entry/1978_Page_70 (3)_3.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.843306517611715,-71.40696030083254,100.0,849 NORTH MAIN ST PROVIDENCE,"EDSON HUBERT 849 N Main St (02904), Tel 831-1470"
45,"111 Westminster St, Providence, RI",Ervanian Stanley S,"['cd1978/entry/1978_Page_70 (3)_5.png', 'cd1978/entry/1978_Page_70 (3)_6.png']",100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Ervanian Stanley S 111 Westminster St Rm 523
46,"57 Eddy St, Providence, RI",Federico Mich! T & Co,['cd1978/entry/1978_Page_70 (3)_7.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.823657720972804,-71.41305297117081,100.0,57 EDDY ST PROVIDENCE,Federico Mich! T & Co 57 Eddy St Rm 212
47,"154 Francis St, Providence, RI",Feeney James E,['cd1978/entry/1978_Page_70 (3)_8.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.8308213423174,-71.41647610627278,100.0,154 FRANCIS ST PROVIDENCE,Feeney James E 154 Francis St 2d FI
48,"111 Westminster St, Providence, RI",Gereboff & Co,['cd1978/entry/1978_Page_70 (3)_11.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Gereboff & Co 111 Westminster St Rm 620
49,"490 Elmwood Ave, Providence, RI",H & R Block,['cd1978/entry/1978_Page_70 (3)_12.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.79880249015886,-71.4262709861144,100.0,490 ELMWOOD AVE PROVIDENCE,H & R Block 490 Elmwood Av
50,"1075 Chalkstone Ave, Providence, RI",H & R Block Inc,['cd1978/entry/1978_Page_70 (3)_13.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.8324080494883,-71.44357979816111,100.0,1075 CHALKSTONE AVE PROVIDENCE,H & R Block Inc 1075 Chalkstone Av
51,"410 Hope St, Providence, RI",Hagopian James,['cd1978/entry/1978_Page_70 (3)_14.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83753350532327,-71.40079044213685,100.0,410 HOPE ST PROVIDENCE,Hagopian James 410 Hope St
52,"1038 Chalkstone Ave, Providence, RI",Izzo Vincent T,['cd1978/entry/1978_Page_70 (3)_15.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83226152936372,-71.44223303257894,100.0,1038 CHALKSTONE AVE PROVIDENCE,Izzo Vincent T 1038 Chalkstone Av
53,"428 Smith St, Providence, RI",Jacobs Gerald,['cd1978/entry/1978_Page_70 (3)_16.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83511431783666,-71.42550636067058,100.0,428 SMITH ST PROVIDENCE,Jacobs Gerald 428 Smith St Rm 7
54,"501 Angell St, Providence, RI",Jarcho Myer C,['cd1978/entry/1978_Page_70 (3)_17.png'],100.0,ACCOUNTANTS—PUBLIC—CONTD,ACCOUNTANTS-PUBLIC,41.83020600394716,-71.38748876555576,100.0,501 ANGELL ST PROVIDENCE,Jarcho Myer C 501 Angell St
